feature,label,positive,negative
AccommodationType_Shared accommodation with friends or relatives,Your accommodation type during your studies,Your living situation seems to support effective studying.,Consider a more study-conducive environment if your living situation is disruptive.
TransportMode_Driving / Driven by personal vehicle,Your mode of transport to campus,Your travel method is manageable and hasn’t negatively impacted academic progress.,Long or stressful commutes could hurt performance. Try minimizing travel burden where possible.
TransportMode_Uber or other ride-hailing services,Your mode of transport to campus,Your travel method is manageable and hasn’t negatively impacted academic progress.,Long or stressful commutes could hurt performance. Try minimizing travel burden where possible.
TransportMode_Public bus / train,Your mode of transport to campus,Your travel method is manageable and hasn’t negatively impacted academic progress.,Long or stressful commutes could hurt performance. Try minimizing travel burden where possible.
TravelTime,Average travel time to campus,Travel time is manageable and not affecting studies.,Long commutes may reduce energy for academics. Consider remote options or relocation.
"EmployedDuringDegree_Yes, full-time employment",Employment during your degree,Your work experience appears to complement your academic efforts.,Work obligations may be stretching your capacity. Rebalance if grades are suffering.
"EmployedDuringDegree_Yes, part-time employment",Employment during your degree,Your work experience appears to complement your academic efforts.,Work obligations may be stretching your capacity. Rebalance if grades are suffering.
"EmployedDuringDegree_No, I was not employed",Employment during your degree,Your work experience appears to complement your academic efforts.,Work obligations may be stretching your capacity. Rebalance if grades are suffering.
LeisureHoursPerWeek,Time spent on leisure activities,Your leisure balance seems to help maintain overall well-being.,Lack of leisure could increase burnout. Schedule time for breaks and relaxation.
DailyScreenTime,Daily non-academic screen time,You appear to maintain a healthy screen-life balance.,Excess screen time may be distracting. Consider reducing it to boost focus.
InflationRateChange,Inflation rate change,Macroeconomic trends have worked in your favor.,External conditions may be less favorable. Diversify skills and network early.
UnemploymentRateChange,Unemployment rate change,Macroeconomic trends have worked in your favor.,External conditions may be less favorable. Diversify skills and network early.
ExchangeRateChange,Exchange rate change,Macroeconomic trends have worked in your favor.,External conditions may be less favorable. Diversify skills and network early.
